,item_id,order_id,product_id,quantity,unit_price,discount_price
0,1,339,396,2,5530,98
1,2,463,205,1,7944,56
2,3,458,485,2,5878,9
3,4,301,254,3,6829,21
4,5,378,36,4,4833,7
5,6,411,376,5,3921,34
6,7,494,132,4,2579,15
7,8,114,107,1,7313,23
8,9,423,86,2,616,45
9,10,388,86,4,1194,10
10,11,405,123,2,1871,41
11,12,4,318,5,2520,21
12,13,123,246,5,7737,54
13,14,218,490,3,1963,28
14,15,294,182,-3,3521,84
15,16,408,118,1,3195,8
16,17,223,285,1,6471,29
17,18,113,101,5,6071,79
18,19,20,74,3,3520,38
19,20,450,310,2,2263,20
20,21,219,175,2,255,83
21,22,190,287,4,6968,1
22,23,109,352,4,1298,93
23,24,171,433,4,4506,66
24,25,162,426,3,4366,73
25,26,353,151,2,2297,13
26,27,333,263,1,5710,58
27,28,345,329,4,5534,81
28,29,399,346,2,5344,76
29,30,340,179,4,3118,90
30,31,198,195,4,972,21
31,32,295,62,-4,6028,38
32,33,215,418,3,3646,18
33,34,331,258,2,1127,48
34,35,7,472,4,1433,38
35,36,199,414,1,3336,25
36,37,304,488,3,2567,66
37,38,410,406,4,3501,61
38,39,417,429,4,4482,33
39,40,188,385,1,6448,49
40,41,255,128,5,2689,72
41,42,166,150,3,4246,3
42,43,230,147,3,1936,22
43,44,458,406,2,2113,21
44,45,78,123,5,4643,95
45,46,458,433,5,6120,74
46,47,457,67,2,6364,16
47,48,403,134,1,1227,66
48,49,22,435,1,5630,25
49,50,220,164,4,1928,19
50,51,77,318,3,4537,51
51,52,186,407,2,1225,61
52,53,453,258,4,3750,63
53,54,181,182,2,1580,17
54,55,459,194,1,3080,41
55,56,207,217,3,6438,99
56,57,358,500,1,4712,39
57,58,130,154,4,5284,87
58,59,116,151,4,4449,21
59,60,408,340,3,3266,46
60,61,162,166,5,2253,29
61,62,143,145,1,2109,13
62,63,139,130,2,5496,77
63,64,472,470,1,4665,60
64,65,414,260,4,4004,6
65,66,429,387,2,4877,77
66,67,170,314,1,6689,99
67,68,22,447,1,513,33
68,69,38,237,3,6474,89
69,70,111,463,3,2608,86
70,71,72,500,5,6565,52
71,72,7,105,3,755,85
72,73,164,258,4,1495,32
73,74,499,318,4,5920,4
74,75,281,122,3,4032,67
75,76,155,20,2,5401,43
76,77,170,111,3,2314,88
77,78,320,188,5,2853,12
78,79,477,83,2,7152,78
79,80,463,97,4,3586,13
80,81,221,388,5,554,30
81,82,71,203,1,6610,89
82,83,357,437,1,5635,44
83,84,416,173,2,2266,59
84,85,136,381,2,7771,54
85,86,15,157,3,5970,36
86,87,455,238,3,5784,26
87,88,388,106,5,3351,85
88,89,332,106,1,1918,82
89,90,270,330,3,4202,8
90,91,2,136,4,7824,16
91,92,420,173,2,787,48
92,93,453,77,3,2742,54
93,94,255,70,4,2232,47
94,95,277,459,2,6726,37
95,96,450,433,1,4822,89
96,97,29,163,2,7428,22
97,98,399,186,1,6411,83
98,99,17,232,5,420,86
99,100,8,257,3,2746,23
100,101,40,228,1,5294,15
101,102,373,489,4,5068,69
102,103,451,381,5,3212,62
103,104,459,236,4,4220,0
104,105,129,383,3,7517,34
105,106,341,395,5,3645,63
106,107,479,346,5,7631,73
107,108,40,417,5,5350,25
108,109,481,41,3,7206,56
109,110,460,111,5,4472,100
110,111,5,163,3,4493,0
111,112,77,321,3,1166,89
112,113,85,201,5,5628,97
113,114,361,422,4,5951,30
114,115,192,216,-4,5475,41
115,116,295,114,3,2904,94
116,117,377,232,3,4878,66
117,118,478,303,5,641,70
118,119,214,114,3,4242,17
119,120,413,273,3,5186,37
120,121,320,211,2,4178,73
121,122,266,493,2,6791,97
122,123,464,455,3,6422,3
123,124,259,421,3,4588,78
124,125,208,386,3,6834,73
125,126,234,298,4,1657,51
126,127,411,58,5,4015,21
127,128,346,199,3,6259,25
128,129,341,159,4,1972,96
129,130,77,344,4,5714,5
130,131,19,478,1,1701,89
131,132,31,192,1,4134,57
132,133,374,394,4,653,28
133,134,307,440,5,6719,5
134,135,338,62,1,950,51
135,136,34,423,5,817,47
136,137,49,495,1,5010,26
137,138,183,385,4,2890,42
138,139,498,446,2,706,33
139,140,195,26,5,7091,100
140,141,493,397,1,5470,34
141,142,401,325,5,5529,34
142,143,190,236,3,6555,0
143,144,162,28,4,5478,90
144,145,363,468,3,355,3
145,146,443,39,3,5525,75
146,147,200,5,5,718,38
147,148,412,381,2,7873,22
148,149,333,65,2,3332,17
149,150,251,225,1,6159,23
150,151,257,374,2,3016,65
151,152,320,14,2,2929,51
152,153,359,281,5,3793,30
153,154,121,335,-5,5831,30
154,155,93,48,2,5869,60
155,156,1,322,4,519,77
156,157,168,307,4,3952,81
157,158,98,266,3,3848,68
158,159,21,420,2,6863,53
159,160,65,496,3,1132,85
160,161,277,493,5,301,14
161,162,297,427,3,3005,1
162,163,363,146,5,3366,72
163,164,20,84,5,1438,19
164,165,403,5,5,6172,57
165,166,156,208,3,6660,45
166,167,391,287,3,5149,7
167,168,474,83,2,5404,39
168,169,381,244,4,3302,45
169,170,79,207,3,7709,72
170,171,184,367,3,1148,29
171,172,299,375,4,7128,86
172,173,204,156,2,7561,22
173,174,466,494,4,6710,57
174,175,400,390,4,1532,90
175,176,186,295,3,1528,26
176,177,407,39,2,3911,18
177,178,401,13,3,3908,95
178,179,77,14,4,7787,74
179,180,120,244,1,4641,37
180,181,113,42,5,2801,65
181,182,495,165,5,5591,32
182,183,197,12,5,3150,23
183,184,374,224,5,3753,24
184,185,338,265,5,561,8
185,186,279,324,4,3249,87
186,187,348,104,1,6668,29
187,188,213,136,3,7459,14
188,189,318,81,3,7231,74
189,190,430,487,2,5279,6
190,191,72,338,2,891,23
191,192,383,159,3,6427,19
192,193,209,203,3,783,31
193,194,296,434,1,2030,14
194,195,6,253,3,1330,42
195,196,92,152,1,6120,15
196,197,93,357,5,993,10
197,198,80,405,4,5362,95
198,199,443,390,3,3820,82
199,200,333,108,4,2062,61
200,201,384,82,1,6026,83
201,202,81,61,5,2928,96
202,203,103,109,3,3249,92
203,204,34,114,3,7607,4
204,205,353,303,2,5144,61
205,206,364,234,2,6827,57
206,207,59,47,4,7275,68
207,208,317,149,5,7718,4
208,209,459,93,5,2542,56
209,210,481,483,3,3836,97
210,211,49,157,1,2173,75
211,212,265,337,5,1882,8
212,213,270,371,3,5430,26
213,214,278,340,1,7012,5
214,215,75,169,1,4636,13
215,216,493,489,1,1901,88
216,217,168,398,5,3565,60
217,218,82,171,5,3499,54
218,219,189,395,3,4762,3
219,220,22,129,1,583,81
220,221,405,419,1,248,6
221,222,13,77,5,4970,29
222,223,65,206,4,5065,4
223,224,459,216,5,3424,55
224,225,282,240,2,6340,12
225,226,460,105,3,604,5
226,227,189,346,1,1483,68
227,228,183,359,-1,1630,27
228,229,475,467,5,250,53
229,230,498,212,4,3383,95
230,231,331,226,1,2506,42
231,232,275,267,4,2957,27
232,233,121,276,2,2585,94
233,234,397,59,5,5489,51
234,235,436,314,2,456,90
235,236,170,484,5,365,11
236,237,194,123,1,3604,60
237,238,168,307,2,827,13
238,239,398,112,5,4157,16
239,240,465,381,3,5980,82
240,241,316,128,1,3725,20
241,242,145,79,5,3939,28
242,243,6,212,4,4064,64
243,244,379,442,4,5286,95
244,245,480,70,4,4611,31
245,246,367,71,4,2482,19
246,247,327,138,1,3758,33
247,248,116,144,2,2113,27
248,249,85,57,4,2787,50
249,250,156,288,3,3737,48
250,251,134,141,5,7186,22
251,252,279,135,5,1638,2
252,253,151,438,2,1638,54
253,254,127,119,1,7359,25
254,255,465,325,3,1643,55
255,256,233,260,1,3245,86
256,257,142,63,1,7805,95
257,258,350,127,4,7690,22
258,259,441,233,1,7997,69
259,260,424,206,3,488,13
260,261,495,144,5,4858,82
261,262,169,463,5,7584,64
262,263,453,229,2,3202,39
263,264,81,436,5,5569,32
264,265,493,158,2,3335,71
265,266,133,84,2,2840,63
266,267,294,373,5,2076,14
267,268,65,289,4,7193,1
268,269,86,331,5,6564,99
269,270,34,392,3,3374,59
270,271,307,213,2,5483,60
271,272,161,157,3,4115,3
272,273,314,22,1,6691,89
273,274,242,170,4,3836,56
274,275,356,87,1,1489,36
275,276,87,106,1,1644,92
276,277,361,26,5,6656,50
277,278,109,204,-5,2470,82
278,279,269,435,5,2658,29
279,280,485,32,1,6030,52
280,281,349,437,5,3877,28
281,282,405,176,1,2436,84
282,283,102,459,3,1858,5
283,284,119,64,4,7045,23
284,285,18,84,-4,2308,92
285,286,71,333,1,589,48
286,287,479,430,3,758,7
287,288,128,63,3,7507,35
288,289,12,6,4,1609,59
289,290,144,171,3,1753,69
290,291,226,490,4,5920,86
291,292,438,141,1,6125,3
292,293,281,363,2,1135,34
293,294,285,146,3,1811,33
294,295,423,59,1,1854,98
295,296,99,192,5,473,27
296,297,417,337,5,1774,50
297,298,225,449,3,7684,28
298,299,315,475,3,7826,20
299,300,405,161,5,7252,24
300,301,278,181,5,7566,36
301,302,54,163,5,2387,31
302,303,418,488,1,2544,93
303,304,365,470,5,2018,55
304,305,43,68,4,1929,8
305,306,201,202,2,2087,46
306,307,27,81,5,1177,49
307,308,345,296,2,3365,88
308,309,197,328,3,2350,22
309,310,84,421,4,6660,92
310,311,329,77,5,899,100
311,312,262,280,-5,1758,61
312,313,269,74,2,4812,10
313,314,240,19,4,7937,49
314,315,10,39,3,7208,9
315,316,377,202,5,5481,10
316,317,163,47,2,4270,83
317,318,231,1,5,2135,6
318,319,321,39,5,321,57
319,320,454,350,2,2235,44
320,321,491,98,5,6540,79
321,322,169,116,3,5858,83
322,323,57,262,4,6921,27
323,324,9,446,3,878,76
324,325,443,160,-3,4091,69
325,326,172,88,4,2211,16
326,327,212,68,4,7037,15
327,328,292,371,1,7034,18
328,329,126,231,1,2397,12
329,330,150,441,5,4360,81
330,331,192,419,5,3080,11
331,332,85,205,1,4803,8
332,333,132,47,1,1518,43
333,334,326,3,1,2122,57
334,335,26,227,2,743,76
335,336,398,87,2,3580,62
336,337,43,196,5,306,3
337,338,404,208,5,6474,89
338,339,82,140,3,885,83
339,340,252,185,3,7275,62
340,341,391,448,1,6202,77
341,342,212,485,1,2259,26
342,343,407,54,1,4871,74
343,344,29,483,1,226,94
344,345,455,115,3,3477,17
345,346,429,20,1,7440,99
346,347,107,277,3,3916,23
347,348,227,35,1,6404,100
348,349,306,82,5,1308,63
349,350,104,69,4,4337,2
350,351,462,439,2,7146,48
351,352,85,42,3,5760,54
352,353,492,134,1,1453,21
353,354,407,281,5,6562,62
354,355,376,305,5,7010,86
355,356,379,374,1,4071,13
356,357,195,112,3,1024,52
357,358,321,115,2,1964,43
358,359,339,156,2,767,75
359,360,285,498,-2,6285,15
360,361,286,321,3,945,76
361,362,99,323,4,7115,61
362,363,417,388,2,3879,97
363,364,478,171,1,7444,22
364,365,22,390,5,2015,68
365,366,447,117,1,3959,33
366,367,350,72,2,6339,50
367,368,167,78,3,5160,80
368,369,364,58,1,399,64
369,370,23,306,4,7398,74
370,371,9,160,5,6596,67
371,372,133,283,3,7181,38
372,373,444,458,3,516,66
373,374,315,410,2,6344,74
374,375,307,278,4,6432,21
375,376,141,460,4,3425,80
376,377,228,467,4,5322,26
377,378,68,456,4,6969,24
378,379,318,197,3,6442,74
379,380,228,406,1,1548,23
380,381,484,159,3,3131,49
381,382,84,269,2,2830,80
382,383,184,419,2,6634,8
383,384,86,198,5,3231,85
384,385,472,233,3,7568,10
385,386,84,425,2,7967,83
386,387,76,117,5,642,38
387,388,282,210,2,3685,62
388,389,384,247,1,7883,11
389,390,251,13,1,5874,40
390,391,330,218,4,6486,76
391,392,35,293,5,3321,68
392,393,229,427,3,3498,56
393,394,98,458,4,6524,8
394,395,291,300,5,4625,28
395,396,176,451,2,6268,38
396,397,383,374,4,3527,77
397,398,189,279,3,2556,82
398,399,47,403,3,4443,42
399,400,430,4,5,4962,29
400,401,98,450,4,2664,94
401,402,178,44,3,7513,15
402,403,22,470,1,6785,58
403,404,246,195,4,3448,2
404,405,262,27,-4,7653,95
405,406,259,180,2,1018,95
406,407,306,92,5,318,27
407,408,350,211,3,5400,84
408,409,178,406,1,949,93
409,410,421,454,2,3082,66
410,411,299,51,3,1678,61
411,412,89,186,5,5330,41
412,413,418,307,3,6268,24
413,414,194,120,3,7911,33
414,415,197,316,1,7476,75
415,416,470,423,3,6152,25
416,417,417,110,2,2728,95
417,418,277,189,5,3556,63
418,419,142,411,1,6422,79
419,420,412,378,5,3513,15
420,421,226,245,4,1704,24
421,422,82,78,5,2519,36
422,423,202,6,5,941,97
423,424,239,205,2,2804,51
424,425,7,242,4,2883,99
425,426,478,294,2,3585,60
426,427,371,150,5,1947,28
427,428,490,192,5,1266,38
428,429,112,204,4,3609,19
429,430,44,449,1,7490,20
430,431,319,211,3,5866,60
431,432,310,236,5,1098,0
432,433,204,192,4,7715,1
433,434,104,392,3,1091,44
434,435,124,362,2,4538,35
435,436,66,16,5,5084,21
436,437,333,211,1,4047,44
437,438,361,312,5,421,90
438,439,124,94,2,4412,89
439,440,307,403,3,1226,18
440,441,102,369,3,6605,28
441,442,361,321,2,4415,24
442,443,21,189,2,7463,35
443,444,144,150,1,3742,96
444,445,293,161,2,6936,37
445,446,347,456,4,7975,63
446,447,17,460,-4,417,43
447,448,124,368,3,7694,88
448,449,8,427,5,2082,24
449,450,241,394,2,3337,3
450,451,338,276,1,2471,16
451,452,438,322,3,3843,93
452,453,55,356,5,1543,82
453,454,30,280,3,7488,22
454,455,351,306,4,1950,95
455,456,356,415,1,2994,69
456,457,222,202,2,1699,33
457,458,128,15,-2,365,26
458,459,459,54,1,5018,17
459,460,303,432,5,3326,51
460,461,49,69,1,5450,0
461,462,410,375,4,7168,33
462,463,10,94,3,7888,33
463,464,60,376,3,5703,81
464,465,118,250,3,2043,81
465,466,107,141,5,1171,75
466,467,211,434,3,453,79
467,468,4,32,5,3970,77
468,469,209,152,3,2413,10
469,470,211,353,1,3209,74
470,471,280,430,1,5767,34
471,472,182,283,1,6469,24
472,473,342,88,3,2377,22
473,474,468,99,1,1783,37
474,475,467,350,3,5035,49
475,476,173,144,5,1068,36
476,477,245,484,3,7521,94
477,478,407,262,5,2526,66
478,479,70,287,2,3760,37
479,480,423,78,4,3669,100
480,481,90,423,2,3548,45
481,482,331,224,5,2889,10
482,483,247,273,3,3546,11
483,484,113,136,1,2336,26
484,485,385,473,1,4661,87
485,486,36,311,3,2032,2
486,487,55,55,3,7071,92
487,488,80,415,1,1636,4
488,489,105,376,5,207,63
489,490,389,444,4,2247,35
490,491,5,42,1,5811,9
491,492,80,285,5,2070,8
492,493,33,227,5,2348,74
493,494,126,165,3,2902,47
494,495,230,51,2,7261,87
495,496,408,345,2,2529,61
496,497,262,488,1,5102,4
497,498,18,331,2,3230,28
498,499,393,445,2,4000,72
499,500,206,95,2,6430,91
