order_id,customer_id,order_date,status,regions
1,34.0,2026-01-27 20:58:56,DELIVERED,WEST
2,452.0,2025-08-02 20:26:27,SHIPPED,EAST
3,112.0,2025-03-08 10:11:05,RETURNED,NORTH
4,469.0,2025-06-12 05:31:10,SHIPPED,EAST
5,461.0,2025-01-10 09:50:14,DELIVERED,EAST
6,335.0,2024-11-16 07:48:53,CANCELLED,NORTH
7,13.0,2024-07-16 20:06:35,SHIPPED,WEST
8,371.0,2025-11-12 19:29:42,SHIPPED,SOUTH
9,365.0,2026-06-01 17:21:57,DELIVERED,EAST
10,347.0,2025-11-18 11:00:15,PLACED,SOUTH
11,491.0,2026-02-27 14:48:27,RETURNED,EAST
12,368.0,2026-02-17 19:48:11,CANCELLED,SOUTH
13,77.0,2024-12-01 15:47:36,DELIVERED,WEST
14,468.0,2025-04-21 08:28:07,SHIPPED,NORTH
15,346.0,2025-05-26 11:07:01,SHIPPED,WEST
16,287.0,2024-10-05 03:55:03,RETURNED,WEST
17,330.0,2025-10-29 23:28:18,RETURNED,SOUTH
18,271.0,2025-08-08 01:38:02,DELIVERED,WEST
19,123.0,2025-03-26 04:07:08,RETURNED,SOUTH
20,329.0,2024-11-22 18:34:24,PLACED,NORTH
21,352.0,2024-07-19 10:16:40,RETURNED,WEST
22,253.0,2025-08-21 20:50:30,SHIPPED,NORTH
23,362.0,2024-12-24 14:59:45,RETURNED,SOUTH
24,480.0,2026-02-01 21:15:13,SHIPPED,WEST
25,497.0,2025-04-15 00:51:10,DELIVERED,NORTH
26,unknown,2025-11-08 04:04:11,CANCELLED,NORTH
27,249.0,2025-05-02 08:00:42,CANCELLED,EAST
28,474.0,2025-03-25 19:39:59,RETURNED,WEST
29,362.0,2025-05-17 00:35:36,PLACED,NORTH
30,404.0,2025-05-17 00:35:36,DELIVERED,SOUTH
31,105.0,2025-06-16 05:30:56,SHIPPED,EAST
32,445.0,2024-08-20 08:09:35,DELIVERED,SOUTH
33,395.0,2024-12-04 03:52:02,CANCELLED,NORTH
34,33.0,2024-11-25 12:32:19,PLACED,WEST
35,235.0,2025-11-30 14:04:39,CANCELLED,WEST
36,97.0,2024-12-09 00:36:01,RETURNED,SOUTH
37,72.0,2024-12-09 00:36:01,CANCELLED,EAST
38,453.0,2024-12-15 23:36:31,PLACED,SOUTH
39,479.0,2025-01-24 10:19:39,DELIVERED,EAST
40,403.0,2026-01-10 02:31:20,CANCELLED,NORTH
41,61.0,2026-01-22 21:23:17,RETURNED,WEST
42,247.0,2024-12-22 05:44:10,DELIVERED,SOUTH
43,213.0,2026-06-22 18:15:43,CANCELLED,EAST
44,unknown,2025-12-23 11:36:45,SHIPPED,NORTH
45,27.0,2025-08-21 23:39:09,PLACED,WEST
46,63.0,2024-08-21 09:19:19,RETURNED,EAST
47,436.0,2024-10-14 18:33:40,RETURNED,WEST
48,unknown,2024-12-06 12:03:01,RETURNED,NORTH
49,138.0,2025-08-06 16:26:52,SHIPPED,WEST
50,233.0,2026-04-06 20:31:07,RETURNED,EAST
51,461.0,2026-04-25 21:57:40,PLACED,NORTH
52,207.0,2025-12-12 22:03:56,RETURNED,SOUTH
53,382.0,2024-11-13 07:22:29,SHIPPED,NORTH
54,387.0,2026-01-23 14:45:54,PLACED,EAST
55,446.0,2024-11-24 04:50:15,DELIVERED,WEST
56,393.0,2024-10-23 20:22:06,PLACED,WEST
57,132.0,2025-10-10 10:50:33,RETURNED,EAST
58,163.0,2024-07-17 08:41:25,RETURNED,SOUTH
59,294.0,2024-07-21 02:31:15,CANCELLED,EAST
60,497.0,2025-10-27 02:04:43,PLACED,WEST
61,273.0,2025-12-14 06:53:42,PLACED,NORTH
62,204.0,2025-07-16 22:17:57,RETURNED,NORTH
63,295.0,2026-05-11 02:45:17,RETURNED,SOUTH
64,68.0,2026-06-09 19:49:10,DELIVERED,EAST
65,42.0,2026-02-01 21:11:54,DELIVERED,EAST
66,394.0,2026-02-11 23:41:35,SHIPPED,SOUTH
67,357.0,2025-11-09 17:46:30,RETURNED,EAST
68,17.0,2026-05-02 02:52:32,DELIVERED,NORTH
69,420.0,2024-10-01 19:01:22,PLACED,WEST
70,488.0,2026-02-18 03:27:10,PLACED,EAST
71,215.0,2026-03-18 11:21:20,PLACED,EAST
