Product_id,Product_name,Category,Subcategory,Cost_price
1,Heaven,Books,Education,1983
2,Samsumgm31,Electronics,Mobile,1642
3,Samsumgm31,Electronics,Mobile,1338
4,Dinning_Set,Home,Kitchen,1636
5,Cpp,Books,Education,1906
6,Jeans,Clothing,Kids,3804
7,Macbook,Electronics,Laptop,4546
8,Oppo51,Electronics,Mobile,2658
9,Canon200,Electronics,Camera,1301
10,Lower,Clothing,Kids,3982
11,Alchemist,Books,Education,2365
12,Top,Clothing,Women,2609
13,Mice,Books,Comedy,2042
14,Heaven,Books,Education,2449
15,Jeans,Clothing,Women,1414
16,Alchemist,Books,Education,2265
17,Mice,Books,Comedy,1072
18,Table,Home,Furniture,2550
19,Omen,Electronics,Laptop,2242
20,Chair,Home,Furniture,3434
21,Skirt,Clothing,Women,2462
22,Omen,Electronics,Laptop,2728
23,Dinning_Set,Home,Kitchen,2872
24,Heaven,Books,Education,2563
25,Chair,Home,Furniture,2023
26,Lower,Clothing,Kids,2001
27,Heaven,Books,Education,2383
28,Box,Home,Kitchen,2179
29,Bed,Home,Furniture,3492
30,Macbook,Electronics,Laptop,3654
31,Dinning_Set,Home,Kitchen,1501
32,Pajama,Clothing,Kids,3156
33,Canon200,Electronics,Camera,3690
34,Lower,Clothing,Kids,1138
35,Canon200,Electronics,Camera,3070
36,Omg,Books,Comedy,2982
37,Nikon300,Electronics,Camera,3935
38,Lower,Clothing,Kids,2204
39,Mixer,Home,Kitchen,4280
40,Mixer,Home,Kitchen,4253
41,Bed,Home,Furniture,2650
42,Jeans,Clothing,Women,1891
43,Jeans,Clothing,Women,1822
44,Dinning_Set,Home,Kitchen,2181
45,Box,Home,Kitchen,4804
46,Alchemist,Books,Education,2127
47,Jeans,Clothing,Kids,1901
48,Mice,Books,Comedy,2559
49,Shirt,Clothing,Men,3373
50,Table,Home,Furniture,1579
51,Alchemist,Books,Education,3531
52,Jeans,Clothing,Kids,4793
53,Ideapad,Electronics,Laptop,2779
54,Cpp,Books,Education,2929
55,Jeans,Clothing,Men,4277
56,Vivo32,Electronics,Mobile,2644
57,Alchemist,Books,Education,1016
58,Lower,Clothing,Kids,4622
59,Alchemist,Books,Education,4440
60,Cpp,Books,Education,4929
61,Top,Clothing,Women,2746
62,Skirt,Clothing,Women,1075
63,Oppo51,Electronics,Mobile,3932
64,Jeans,Clothing,Women,1871
65,Shirt,Clothing,Men,1426
66,Box,Home,Kitchen,3080
67,Macbook,Electronics,Laptop,2407
68,Jeans,Clothing,Women,1209
69,Lower,Clothing,Men,4545
70,Lower,Clothing,Men,2610
71,Oppo51,Electronics,Mobile,4666
72,Dinning_Set,Home,Kitchen,4477
73,Cpp,Books,Education,2215
74,Samsumgm31,Electronics,Mobile,1316
75,Skirt,Clothing,Women,2961
76,Oppo51,Electronics,Mobile,3146
77,Alchemist,Books,Education,4748
78,Shirt,Clothing,Men,1831
79,Top,Clothing,Women,4672
80,Jeans,Clothing,Women,3886
81,Mice,Books,Comedy,2014
82,Table,Home,Furniture,4907
83,Bed,Home,Furniture,2004
84,Alchemist,Books,Education,4205
85,Dinning_Set,Home,Kitchen,2221
86,Box,Home,Kitchen,3598
87,Tillu,Books,Comedy,4016
88,Skirt,Clothing,Women,1864
89,Chair,Home,Furniture,3340
90,Heaven,Books,Education,3550
91,Nikon300,Electronics,Camera,2639
