item_id,order_id,product_id,quantity,unit_price,discount_price
1,297,160,3,5807,47
2,400,28,4,2262,31
3,30,488,3,1693,44
4,244,108,3,4611,32
5,363,222,2,7783,85
6,185,134,3,2441,12
7,220,268,4,7394,2
8,119,245,5,6818,20
9,467,270,4,611,3
10,158,452,3,3285,42
11,359,290,4,7611,5
12,286,398,3,923,11
13,265,212,1,7077,5
14,258,184,5,6964,14
15,420,130,4,836,91
16,295,99,4,7189,60
17,92,307,1,681,84
18,42,405,1,2423,42
19,5,417,4,6493,4
20,78,354,2,3294,27
21,139,463,5,578,45
22,138,68,5,6705,38
23,498,319,2,2519,4
24,1,438,5,1977,86
25,102,283,5,6732,8
26,62,27,3,3571,21
27,345,427,1,1187,7
28,18,285,4,4425,48
29,15,141,4,6892,95
30,485,473,4,5956,21
31,362,383,4,5647,72
32,286,331,3,4510,79
33,74,108,4,6705,51
34,256,302,4,5789,73
35,166,96,-4,3640,78
36,57,278,2,5270,15
37,365,295,1,5656,93
38,321,61,4,977,86
39,94,187,3,4190,4
40,76,174,5,4031,43
41,325,447,5,4354,74
42,234,26,3,1328,95
43,497,207,4,3446,39
44,329,427,5,6646,50
45,318,132,1,7552,4
46,153,385,3,3635,88
47,33,352,4,1593,90
48,377,491,4,2130,40
49,500,404,3,4561,65
50,82,213,3,7166,23
51,247,326,5,5149,22
52,80,196,2,1516,68
53,71,182,1,7439,29
54,221,238,2,1772,93
55,114,16,2,2553,50
56,322,190,5,6234,36
57,100,357,4,456,4
58,208,387,4,2876,6
59,317,311,1,203,14
60,394,463,2,5637,98
61,319,346,4,2362,3
62,374,45,1,419,32
63,203,223,5,4583,66
64,312,378,4,1957,17
65,216,21,2,5786,19
66,426,177,4,4773,67
67,342,197,5,1703,0
68,179,246,1,2020,70
69,172,486,4,2800,31
70,368,480,5,304,74
71,233,160,1,3287,33
72,364,208,3,1202,71
73,363,236,1,1656,73
74,159,118,1,6036,62
75,23,348,5,2561,83
76,14,56,5,4236,73
77,236,13,1,3145,44
78,371,9,5,6113,94
79,75,477,3,1322,1
80,140,370,2,6166,99
81,311,101,3,7253,49
82,80,325,3,1321,80
83,133,34,5,423,87
84,459,259,3,382,1
85,459,54,3,742,44
86,440,149,1,6630,78
87,133,387,5,6126,36
88,360,453,2,1325,27
89,308,261,3,2018,1
90,51,119,2,7939,96
91,471,10,3,5557,14
92,264,485,5,5290,19
93,168,311,4,3989,72
94,236,222,-4,2297,64
95,367,296,3,4310,34
96,192,161,2,6296,34
97,69,398,1,621,17
98,70,92,1,2389,74
99,30,61,1,4304,17
100,281,50,1,7555,77
101,429,81,5,862,86
102,310,212,1,6504,7
103,123,185,4,7374,70
104,56,411,5,2789,8
105,204,21,4,5549,97
106,195,419,5,2419,33
107,100,205,2,2893,57
108,157,418,2,3650,19
109,352,180,4,7665,21
110,194,472,2,998,18
111,148,34,2,4726,68
112,116,205,3,1894,62
113,300,255,1,1987,35
114,103,121,4,7833,46
115,225,322,4,4227,32
116,278,321,5,555,9
117,89,228,3,5106,18
118,270,322,1,7488,80
119,498,171,5,816,96
120,64,125,3,4635,96
121,391,3,5,1069,69
122,80,136,3,6849,98
123,245,213,5,2429,52
124,1,62,3,3654,16
125,430,85,3,2000,18
126,473,40,3,6762,55
127,340,293,4,6460,44
128,250,64,5,2008,86
129,189,346,2,4908,84
130,274,475,2,7963,23
131,195,410,5,7405,30
132,133,382,3,7397,30
133,48,51,3,7078,44
134,53,292,1,4885,2
135,131,186,3,1266,21
136,51,489,1,598,74
137,5,464,2,4769,91
138,419,210,4,7164,69
139,383,496,1,5347,90
140,96,42,2,2709,65
141,301,356,3,4626,71
142,274,59,3,6599,87
143,384,168,3,5199,95
144,421,199,4,7116,24
145,365,289,3,7136,78
146,24,143,1,7763,24
147,24,142,2,2666,13
148,221,392,5,5708,67
149,27,311,2,3439,12
150,187,375,4,299,81
151,435,2,2,7346,32
152,316,318,3,7617,90
153,33,173,1,612,71
154,453,182,4,6000,96
155,489,162,1,1867,45
156,388,418,2,2547,88
157,100,306,5,3244,70
158,324,226,2,4214,98
159,106,212,3,671,20
160,78,203,2,6366,63
161,476,410,3,820,19
162,229,60,1,2938,52
163,481,183,2,3608,56
164,396,96,4,5438,11
165,464,371,1,7504,74
166,324,336,5,3499,72
167,129,223,-5,1737,17
168,241,276,4,4327,77
169,466,126,2,4286,63
170,474,7,4,1914,75
171,70,488,1,6845,32
172,144,364,3,4646,83
173,478,244,3,4273,67
174,290,423,1,1274,90
175,263,20,3,4007,12
176,378,106,5,1169,79
177,157,263,3,4157,35
178,289,478,3,4256,82
179,406,229,3,5122,53
180,94,339,2,7399,37
181,192,109,3,382,39
182,453,137,4,6342,4
183,433,307,-4,7718,32
184,130,241,3,6076,20
185,20,303,4,5554,18
186,170,150,5,946,46
187,428,70,4,2692,82
188,56,347,-4,2195,20
189,48,314,1,7841,72
190,136,494,1,2989,50
191,66,388,1,6456,90
192,322,327,5,6710,25
193,71,41,2,6668,93
194,376,360,3,3637,3
195,384,263,1,3472,26
196,22,207,4,4741,92
197,227,113,5,1649,40
198,94,437,4,6081,96
199,243,159,2,4649,77
200,382,199,4,3927,61
201,112,302,3,474,47
202,235,308,4,7222,81
203,149,112,3,1114,20
204,428,46,3,4688,68
205,166,457,1,5117,77
206,354,220,1,7544,3
207,292,397,4,4862,39
208,383,477,5,6290,52
209,378,372,3,4374,57
210,137,118,2,2177,39
211,18,98,5,597,27
212,237,460,3,7214,94
213,161,376,4,7080,88
214,77,261,4,4761,5
215,378,71,3,5704,89
216,287,342,3,5532,5
217,36,387,2,491,43
218,227,422,5,6399,19
219,188,191,5,3426,4
220,111,368,2,1079,75
221,432,336,3,6808,55
222,145,439,3,5226,9
223,286,294,5,5491,89
224,168,432,3,1497,62
225,14,417,4,2894,65
226,314,245,5,252,42
227,166,431,3,4337,32
228,13,2,-3,7029,44
229,495,148,4,4505,28
230,3,397,3,3081,23
231,490,344,3,1251,42
232,63,340,5,5527,73
233,188,453,5,1178,26
234,358,356,1,6310,78
235,9,254,5,1189,33
236,496,31,2,922,93
237,121,340,5,3138,6
238,236,347,5,4046,55
239,149,128,1,3353,21
240,98,436,3,3175,19
241,248,224,1,4379,12
242,306,165,2,7824,1
243,206,233,1,891,60
244,88,485,2,6407,63
245,436,438,3,3470,89
246,471,180,1,5732,20
247,482,264,1,7238,83
248,381,28,1,1450,0
249,110,381,5,223,69
250,235,200,2,1846,30
251,178,344,1,3873,64
252,8,433,2,3016,37
253,328,395,4,1081,29
254,306,125,5,7424,9
255,465,285,4,6202,67
256,293,296,3,1436,31
257,440,232,3,4127,80
258,274,375,3,6659,72
259,401,499,5,4913,35
260,123,464,5,3843,48
261,113,497,4,5893,91
262,202,342,1,4384,70
263,242,341,4,2630,50
264,184,423,5,1492,7
265,433,370,3,4781,59
266,402,241,3,5195,1
267,368,363,3,6110,57
268,157,402,5,6491,82
269,374,50,3,7984,95
270,339,463,1,5418,99
271,208,455,2,876,71
272,15,473,1,324,73
273,301,106,2,1987,86
274,285,323,3,5164,25
275,450,10,3,4339,33
276,265,277,2,7739,17
277,105,165,5,2190,21
278,463,491,5,5566,29
279,187,27,2,1482,98
280,404,317,5,1078,21
281,9,249,5,488,95
282,292,293,1,4752,58
283,367,427,2,777,12
284,282,82,5,2980,38
285,476,492,1,4039,30
286,363,269,4,5155,72
287,106,329,2,6619,30
